Numero,Tempo_Sequencial,Tempo_5_Threads,Tempo_10_Threads
671023122,70615,3947324,260327
557738474,6418,306853,232752
1861289580,4485,252105,286529
586091740,3538,2709836,3385563
438275014,4157,1423554,593269
108982173,3964,1312536,1115651
1309874189,7564,714309,569505
999907889,4823,389043,538812
1730576579,15890,447577,679265
1313393060,13990,546898,1999438
742289570,14811,274078,629599
1327352133,17215,324470,437259
957762484,14399,506671,477188
301336861,11209,318088,547832
647924477,14679,335333,1021822
252850574,21401,611468,1388356
164228629,23212,462041,1411873
937576116,12288,378336,1086629
1298472879,11051,1701703,2088116
1712840415,9857,869664,4153573
1812505621,46916,448810,1848388
622675605,47971,448794,978666
1628750366,45945,1358510,1830505
1310863074,57713,552242,1100219
526462410,60796,642479,9555154
1395322111,61028,3708111,6678312
268039676,162441,1196597,26864664
62523061,41962,3475502,622079
1730468038,42975,325961,796505
1426423426,34553,1619329,1198931
331337765,42764,543943,938351
254007512,43207,782300,626286
1984161900,45884,347027,537908
45143698,40993,282675,1449421
840099253,42376,547400,499953
274953266,51790,307845,507157
154125871,42758,1317652,820588
2489794,48230,400423,817842
1274861155,50209,571782,555599
1884702450,49516,314128,568530
1315882855,50168,401423,507667
2017150725,51645,339480,3572485
1064570936,56789,6296650,1459438
126161691,45848,517210,1725805
171003939,52028,4402516,626759
1712495413,46854,416041,966605
379012266,45668,460713,853794
335232568,48649,582214,483911
502587881,46355,827587,768660
1677485145,46784,384424,577175
2048072984,48425,497529,507921
167609854,47504,441574,592710
152677102,48147,1649382,2112925
1529339702,45991,1229676,666706
1478472928,47060,546511,732741
679139512,46636,820906,3080570
777178165,165759,1118722,939979
1746512604,47331,2052802,757575
741662573,46741,649296,877412
360162555,45001,1016360,510803
1025452382,46233,329360,526871
1073000339,54114,434644,479363
614170068,49506,335737,1760814
862130634,49014,3621462,1241642
1118144037,52473,634004,683478
1454269321,71708,1601628,1032005
1137083901,67795,537353,591695
1272269908,71077,513195,488962
1456759115,67895,553853,1006374
264461408,78346,514908,1007542
1009488710,67440,334425,468373
625158322,69067,303386,526749
134128486,78629,322315,539208
2074059646,66852,498455,859360
751320014,65377,361934,2023159
305132425,73717,4326414,5351963
1639071411,71645,566378,685660
1130332280,78553,487738,680654
640364993,74008,599167,519011
2141659293,65907,268316,610215
660333777,75532,422278,404216
540954329,75114,312434,627428
161785499,74016,359311,515915
813010880,75300,1272194,1204818
2070294032,84210,651321,5711061
1640258428,75790,911313,2444027
1492150392,92142,3346142,1122833
699988549,81401,1427415,1499807
1239287384,79077,660856,735958
86329318,111271,627337,476640
1060151105,77995,1338647,934851
117256119,77926,538415,431443
1159329657,67170,228553,388014
1674321173,81305,249360,464207
979386753,68163,321630,1303872
129990046,76070,6199929,901334
981106846,74389,952947,782955
2116470654,72389,560406,883665
1402259954,70154,315297,632900
290382313,72469,348008,514334
233448415,148207,294594,1608310
264265016,112067,658798,499830
915540636,66548,445846,435365
367576901,78031,446468,476373
190841015,74557,381791,497565
1666860650,77120,439878,606154
672709326,72262,651658,1045794
